Date,Open,Close,High,Low,Volume,code,Adj Close
2015-11-06,8.221,8.339,8.402,8.185,1678018.0,600048,8.339
2015-11-09,8.303,8.502,8.765,8.285,2039405.0,600048,8.502
2015-11-10,8.43,8.339,8.448,8.276,1227383.0,600048,8.339
2015-11-11,8.402,8.448,8.538,8.357,1210246.0,600048,8.448
2015-11-12,8.556,8.312,8.556,8.221,1014407.0,600048,8.312
2015-11-13,8.23,8.104,8.276,8.04,837825.0,600048,8.104
2015-11-16,8.04,8.194,8.194,7.977,736543.0,600048,8.194
2015-11-17,8.285,8.239,8.529,8.194,1368689.0,600048,8.239
2015-11-18,8.221,8.756,9.063,8.185,4020855.0,600048,8.756
2015-11-19,8.756,8.674,8.756,8.475,2063708.0,600048,8.674
2015-11-20,8.665,8.792,8.955,8.62,1703651.0,600048,8.792
2015-11-23,8.719,8.701,8.928,8.611,1085636.0,600048,8.701
2015-11-24,8.638,8.593,8.638,8.43,978161.0,600048,8.593
2015-11-25,8.547,8.647,8.801,8.511,1039364.0,600048,8.647
2015-11-26,8.647,8.71,8.918,8.647,1102714.0,600048,8.71
2015-11-27,8.647,8.33,8.746,8.239,1191024.0,600048,8.33
2015-11-30,8.357,8.692,8.828,8.357,1579164.0,600048,8.692
2015-12-01,8.638,9.561,9.561,8.565,5450317.0,600048,9.561
2015-12-02,9.416,10.521,10.521,9.29,7153619.0,600048,10.521
2015-12-03,10.503,10.286,10.63,10.068,3735823.0,600048,10.286
2015-12-04,10.05,9.96,10.231,9.887,2610177.0,600048,9.96
2015-12-07,9.878,9.806,10.05,9.598,2384263.0,600048,9.806
2015-12-08,9.815,9.706,9.933,9.507,1439170.0,600048,9.706
2015-12-09,9.751,10.132,10.304,9.634,2764756.0,600048,10.132
2015-12-10,9.96,9.462,10.204,9.389,1923511.0,600048,9.462
2015-12-11,9.398,9.371,9.453,9.127,1059719.0,600048,9.371
2015-12-14,9.272,9.57,9.67,9.226,1126821.0,600048,9.57
2015-12-15,9.652,9.697,10.114,9.57,1465982.0,600048,9.697
2015-12-16,9.625,9.48,9.733,9.416,885983.0,600048,9.48
2015-12-17,9.661,10.431,10.431,9.598,1920203.0,600048,10.431
2015-12-18,10.865,10.277,11.155,10.204,4028810.0,600048,10.277
2015-12-21,10.123,10.856,11.137,10.123,2603568.0,600048,10.856
2015-12-22,10.965,10.729,10.965,10.521,1558310.0,600048,10.729
2015-12-23,10.639,10.72,11.001,10.584,1612259.0,600048,10.72
2015-12-24,10.639,10.213,10.675,10.005,1504833.0,600048,10.213
2015-12-25,10.186,10.322,10.548,10.168,801232.0,600048,10.322
2015-12-28,10.34,9.806,10.367,9.733,1127462.0,600048,9.806
2015-12-29,9.779,9.914,9.933,9.579,702194.0,600048,9.914
2015-12-30,9.869,9.824,9.914,9.643,813309.0,600048,9.824
2015-12-31,9.824,9.634,10.005,9.607,693620.0,600048,9.634
2016-01-04,9.625,8.701,9.643,8.674,997359.0,600048,8.701
2016-01-05,8.466,8.928,9.081,8.375,1475344.0,600048,8.928
2016-01-06,8.891,9.063,9.109,8.756,834873.0,600048,9.063
2016-01-07,8.937,8.212,8.937,8.176,197016.0,600048,8.212
2016-01-08,8.448,8.593,8.81,8.176,1365459.0,600048,8.593
2016-01-11,8.439,8.004,8.611,7.886,1109567.0,600048,8.004
