index,industry,name,newPrice
300132,190,化工原料,青松股份,13.28
603228,484,元器件,景旺电子,56.85
300559,558,软件服务,佳发教育,33.5
300529,860,医疗保健,健帆生物,50.2
002039,1136,水力发电,黔源电力,14.59
600131,1263,水力发电,岷江水电,6.3
300042,1297,电脑设备,朗科科技,25.06
000990,1635,化工原料,诚志股份,14.3
002007,1697,生物制药,华兰生物,35.01
600789,1769,化学制药,鲁抗医药,11.0
600246,1829,区域地产,万通地产,4.3
600132,2205,啤酒,重庆啤酒,29.57
603096,2212,出版业,新经典,92.46
300517,2270,建筑施工,海波重科,23.77
600183,2422,元器件,生益科技,9.8
300365,2473,软件服务,恒华科技,21.16
600240,2535,全国地产,XD华业资,7.4
002179,2536,元器件,中航光电,42.5
603606,2906,电气设备,东方电缆,7.99
300451,3138,软件服务,创业软件,15.85
300523,3185,软件服务,辰安科技,64.44
002458,3217,农业综合,益生股份,19.8
000738,3290,航空,航发控制,14.57
600476,3346,软件服务,湘邮科技,18.01
002906,3384,汽车配件,华阳集团,20.07
600760,3388,航空,中航沈飞,37.81
000802,3443,影视音像,北京文化,13.22
603856,3485,塑料,东宏股份,15.77
